country,points,gf,ga,editions,region
France,96,106,71,14,Europe
Mexico,56,57,92,15,Oceania
USA,30,37,62,10,N/C.America
Belgium,51,52,66,12,Europe
Yugoslavia,56,60,46,9,Europe
Brazil,229,223,103,20,S.America
Romania,29,30,32,7,Europe
Peru,15,19,31,4,S.America
Argentina,142,135,86,16,S.America
Chile,39,41,51,9,S.America
Bolivia,1,1,20,3,S.America
Paraguay,31,30,38,8,S.America
Uruguay,72,80,71,12,S.America
Italy,156,128,77,18,Europe
Austria,40,43,47,7,Europe
Germany,96,93,44,8,Europe
Czechoslovakia,38,44,45,8,Europe
Switzerland,39,45,59,10,Europe
Netherlands,94,90,53,10,Europe
Sweden,61,74,69,11,Europe
Spain,99,92,66,14,Europe
Hungary,48,87,57,9,Europe
Egypt,2,3,6,2,Africa
Norway,9,7,8,3,Europe
Dutch East Indies,0,0,6,1,""
Cuba,4,5,12,1,N/C.America
Poland,50,44,40,7,Europe
England,98,79,56,14,Europe
Scotland,19,25,41,8,Europe
South Korea,24,31,67,9,Asia
FRG,122,131,77,10,Europe
Turkey,16,20,17,2,Europe
Northern Ireland,14,13,23,3,Europe
Wales,6,4,4,1,Europe
Soviet Union,51,53,34,7,Europe
Colombia,23,26,27,5,S.America
Bulgaria,17,22,53,7,Europe
North Korea,4,6,21,2,Asia
Portugal,43,43,29,6,Europe
Israel,2,1,3,1,Europe
El Salvador,0,1,22,2,N/C.America
Morocco,10,12,18,4,Africa
GDR,8,5,5,1,Europe
Australia,9,11,26,4,Asia
Zaire,0,0,14,1,Africa
Haiti,0,2,14,1,N/C.America
Tunisia,7,8,17,4,Africa
Iran,6,7,22,4,Asia
Cameroon,19,18,43,7,Africa
New Zealand,3,4,14,2,Oceania
Algeria,12,13,19,4,Africa
Honduras,3,3,14,3,N/C.America
Kuwait,1,2,6,1,Asia
Canada,0,0,5,1,N/C.America
Iraq,0,1,4,1,Asia
Denmark,26,27,24,4,Europe
United Arab Emirates,0,2,11,1,Asia
Costa Rica,20,22,27,4,N/C.America
Ireland,14,10,10,3,Europe
Saudi Arabia,8,9,32,4,Asia
Russia,8,13,13,3,Europe
Greece,7,7,24,3,Europe
Nigeria,18,20,26,5,Africa
South Africa,10,11,16,3,Africa
Japan,16,14,22,5,Asia
Jamaica,3,3,9,1,N/C.America
Croatia,23,21,17,4,Europe
Senegal,8,7,6,1,Africa
Slovakia,4,6,11,2,Europe
Ecuador,13,10,11,3,S.America
China,0,0,9,1,Asia
Slovenia,4,4,6,2,Europe
Trinidad and Tobago,1,0,4,1,N/C.America
Ivory Coast,10,13,14,3,Africa
Serbia-Montenegro,0,2,10,1,Europe
Angola,2,1,2,1,Africa
Czech Republic,3,3,4,1,Europe
Ghana,15,13,16,3,Africa
Togo,0,1,6,1,Africa
Ukraine,7,5,7,1,Europe
Serbia,3,2,3,1,Europe
Bosnia-Herzegovina,3,4,4,1,Europe
